Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Havering - Emerson Park,00ARGF,E05000309,"12,100","1,850","7,400","2,850",352
Havering - Gooshays,00ARGG,E05000310,"15,400","3,600","9,900","1,900",284
Havering - Hacton,00ARGH,E05000311,"12,600","2,000","7,950","2,650",341
Havering - Harold Wood,00ARGJ,E05000312,"13,750","2,550","8,700","2,500",292
Havering - Havering Park,00ARGK,E05000313,"13,200","2,700","8,200","2,300",291
Havering - Heaton,00ARGL,E05000314,"13,200","2,900","8,100","2,200",298
Havering - Hylands,00ARGM,E05000315,"13,150","2,100","8,600","2,500",341
Havering - Mawneys,00ARGN,E05000316,"13,100","2,550","8,000","2,550",313
Havering - Pettits,00ARGP,E05000317,"13,050","2,200","7,850","2,950",322
Havering - Rainham and Wennington,00ARGQ,E05000318,"13,150","2,500","8,300","2,350",304
Havering - Romford Town,00ARGR,E05000319,"18,700","3,650","12,550","2,450",314
Havering - St. Andrew's,00ARGS,E05000320,"13,650","2,300","8,500","2,850",328
Havering - South Hornchurch,00ARGT,E05000321,"16,550","3,600","10,350","2,650",305
Havering - Squirrel's Heath,00ARGU,E05000322,"13,400","2,450","8,650","2,350",335
Havering - Upminster,00ARGW,E05000323,"12,950","2,000","7,900","3,100",352
Hillingdon - Barnhill,00ASGG,E05000324,"14,050","3,450","9,200","1,400",317
Hillingdon - Botwell,00ASGH,E05000325,"15,950","4,200","10,200","1,500",312
Hillingdon - Brunel,00ASGJ,E05000326,"14,750","2,350","10,850","1,600",294
Hillingdon - Cavendish,00ASGK,E05000327,"12,100","2,400","7,750","2,000",347
Hillingdon - Charville,00ASGL,E05000328,"13,200","3,000","8,550","1,650",334
Hillingdon - Eastcote and East Ruislip,00ASGM,E05000329,"12,600","2,150","7,800","2,650",351
Hillingdon - Harefield,00ASGN,E05000330,"7,750","1,550","4,900","1,350",307
Hillingdon - Heathrow Villages,00ASGP,E05000331,"13,250","3,050","8,900","1,300",320
Hillingdon - Hillingdon East,00ASGQ,E05000332,"13,700","3,100","9,000","1,600",327
Hillingdon - Ickenham,00ASGR,E05000333,"10,750","1,900","6,600","2,250",367
Hillingdon - Manor,00ASGS,E05000334,"11,900","2,400","7,600","1,900",351
Hillingdon - Northwood,00ASGT,E05000335,"10,850","1,750","6,800","2,300",339
Hillingdon - Northwood Hills,00ASGU,E05000336,"12,050","2,250","7,600","2,150",332
Hillingdon - Pinkwell,00ASGW,E05000337,"15,750","4,150","10,200","1,400",326
Hillingdon - South Ruislip,00ASGX,E05000338,"12,950","2,650","8,600","1,700",327
Hillingdon - Townfield,00ASGY,E05000339,"14,900","3,550","9,900","1,450",309
Hillingdon - Uxbridge North,00ASGZ,E05000340,"13,100","2,400","8,600","2,100",345
Hillingdon - Uxbridge South,00ASHA,E05000341,"15,000","2,050","11,550","1,400",309
Hillingdon - West Drayton,00ASHB,E05000342,"15,250","3,600","9,900","1,750",293
Hillingdon - West Ruislip,00ASHC,E05000343,"11,600","2,150","7,450","2,000",340
